               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.013895,           0.0050792,                   0,             0.99739,             0.99914,             0.99489,             0.91085,            0.011054,           0.0025588,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.013911,           0.0050983,                   0,              0.9974,             0.99914,             0.99494,             0.91109,            0.011042,           0.0025559,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.013918,           0.0051111,                   0,             0.99739,             0.99914,             0.99494,             0.91215,             0.01103,           0.0025546,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.013859,           0.0051381,                   0,             0.99733,                   1,             0.99496,              0.9116,            0.011024,           0.0025554,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.013867,            0.005085,                   0,             0.99652,             0.99914,             0.99497,             0.91033,            0.011035,           0.0025559,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.013748,           0.0050919,                   0,             0.99652,             0.99914,             0.99497,             0.91094,            0.011021,           0.0025529,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.013609,           0.0051271,                   0,             0.99734,                   1,             0.99497,             0.91152,            0.011009,           0.0025494,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.013779,           0.0051095,                   0,             0.99734,                   1,             0.99497,              0.9115,            0.010994,           0.0025474,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.013948,           0.0051451,                   0,             0.99733,                   1,             0.99497,             0.91126,            0.010983,           0.0025433,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.013572,           0.0050883,                   0,             0.99734,                   1,             0.99497,             0.91259,            0.010982,           0.0025414,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.013677,           0.0050311,                   0,             0.99734,                   1,             0.99497,              0.9128,             0.01098,           0.0025428,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.013741,           0.0050944,                   0,             0.99734,                   1,             0.99497,             0.91258,               0.011,           0.0025432,                   0,            0.005479,            0.005479,            0.005479
